OBJECTID,lon,lat,StaType,DateModif,StnType,ZipCode,State,City,Address2,Address1,Name,Code,StationName,StationFacilityName,StationAliases,x,y
1,-84.644832,43.39172,Station Building (with waiting room),2018-09-27T07:04:38,BUS,48801,MI,Alma, ,1105 Willow Run Drive, ,AAM,"Alma, MI", , ,-84.6448370052134,43.3917282758211
2,-73.809184,42.744491,Curbside Bus Stop only (no shelter),2018-09-27T07:04:38,BUS,12211,NY,Albany, ,737 Albany Shaker Road,Albany Intl Airport,ABA,"Albany, NY",Albany Intl Airport, ,-73.8091855150354,42.7444996518371
3,-90.314667,44.928553,Curbside Bus Stop only (no shelter),2018-09-28T07:04:39,BUS,54421,WI,Colby, ,1210 North Division St., ,ABB,"Abbotsford-Colby, WI", ,Colby,-90.3146738882451,44.9285611850779
4,-76.16326,39.508447,Station Building (with waiting room),2018-09-14T07:04:39,TRAIN,21001,MD,Aberdeen, ,18 East Bel Air Avenue, ,ABE,"Aberdeen, MD", , ,-76.1632620593366,39.5084549403437
5,-74.501475,39.424041,Platform with Shelter,2018-09-27T07:04:38,TRAIN,08201,NJ,Absecon, ,Shore Road and Ohio Avenue, ,ABN,"Absecon, NJ", , ,-74.5014765302998,39.4240489831207
6,-106.647975,35.082061,Station Building (with waiting room),2018-09-29T07:04:38,TRAIN,87102,NM,Albuquerque, ,320 1st Street SW, ,ABQ,"Albuquerque, NM", , ,-106.647985021302,35.0820666444239
7,-121.816024,38.0177,Platform with Shelter,2017-11-06T07:04:20,TRAIN,94509,CA,Antioch, ,100 I Street, ,ACA,"Antioch-Pittsburg, CA", ,Pittsburg,-121.816037152762,38.0177050086558
8,-74.434793,39.359556,Station Building (with waiting room),2018-04-13T07:04:13,BUS,08401,NJ,Atlantic City, ,1901 Atlantic Avenue, ,ACB,"Atlantic City, NJ", , ,-74.4347945050129,39.3595639719397
9,-90.624403,37.592161,Station Building (with waiting room),2018-09-29T07:04:39,TRAIN,63621,MO,Arcadia, ,13700 Highway 21, ,ACD,"Arcadia, MO", , ,-90.6244092225903,37.5921679303639
10,-74.439903,39.362689,Station Building (with waiting room),2018-09-27T07:04:38,TRAIN,08401,NJ,Atlantic City, ,1 Atlantic City Expressway, ,ACY,"Atlantic City, NJ", , ,-74.439904506828,39.3626969722225
11,-97.12551,34.172465,Platform only (no shelter),2024-06-08T07:05:50,TRAIN,73401,OK,Ardmore, ,251 East Main Street, ,ADM,"Ardmore, OK", , ,-97.1255176973313,34.172470981119
12,-69.799133,44.355913,Curbside Bus Stop only (no shelter),2018-09-26T07:04:41,BUS,04330,ME,Augusta, ,9 Industrial Drive, ,AGM,"Augusta, ME", , ,-69.7991332904076,44.3559220831307
13,-122.689591,42.185744,Curbside Bus Stop only (no shelter),2018-09-20T09:56:28,BUS,97520,OR,Ashland, ,499 Stadium Street,Southern Oregon University,AHL,"Ashland, OR",Southern Oregon University, ,-122.689604867697,42.185749253788
14,-120.578288,37.364226,Curbside Bus Stop only (no shelter),2025-07-18T07:05:15,TRAIN,95301,CA,Atwater, ,5050 Santa Fe Drive,Castle Air Museum,AIR,"Atwater, CA",Castle Air Museum, ,-120.578300885572,37.3642310412468
15,-82.639603,38.480875,Platform with Shelter,2017-11-06T07:04:22,TRAIN,41101,KY,Ashland, ,99 15th Street, ,AKY,"Ashland, KY", , ,-82.6396069802708,38.4808824755953
16,-84.790596,45.440201,Curbside Bus Stop only (no shelter),2018-09-27T07:04:38,BUS,49706,MI,Alanson, ,7640 Burr Avenue, ,ALA,"Alanson, MI", , ,-84.7906012733067,45.4402096037575
17,-73.741147,42.641029,Station Building (with waiting room),2018-09-14T07:04:40,TRAIN,12144,NY,Rensselaer, ,525 East Street, ,ALB,"Albany-Rensselaer, NY", , ,-73.741148485347,42.6410376345124
18,-81.092904,40.921275,Platform only (no shelter),2017-11-06T07:04:22,TRAIN,44601,OH,Alliance, ,820 East Main Street, ,ALC,"Alliance, OH", , ,-81.0929076927242,40.92128301129
19,-80.644856,37.724277,Platform with Shelter,2017-11-06T07:04:22,TRAIN,24910,WV,Alderson, ,1 C&O Plaza on Railroad Avenue, ,ALD,"Alderson, WV", , ,-80.6448593290049,37.7242844082623
20,-84.755814,42.247196,Station Building (with waiting room),2017-11-06T07:04:23,TRAIN,49224,MI,Albion, ,300 North Eaton Street, ,ALI,"Albion, MI", , ,-84.7558189268155,42.2472040723965
21,-83.476459,45.062202,Curbside Bus Stop only (no shelter),2018-09-27T07:04:39,BUS,49707,MI,Alpena, ,1180 Michigan Highway 32 West, ,ALM,"Alpena, MI", , ,-83.4764638185131,45.0622106167293
22,-90.157298,38.921007,Station Building (with waiting room),2018-09-28T07:04:40,TRAIN,62002,IL,Alton, ,1 Golf Road, ,ALN,"Alton, IL", , ,-90.1573042023512,38.9210141963293
23,-103.661513,30.357302,Station Building (with waiting room),2021-01-22T07:04:20,TRAIN,79830,TX,Alpine, ,102 West Holland Avenue, ,ALP,"Alpine, TX", , ,-103.661522042259,30.3573070113731
24,-78.40162,40.514475,Station Building (with waiting room),2017-11-06T07:04:23,TRAIN,16601,PA,Altoona, ,1231 11th Avenue, ,ALT,"Altoona, PA", , ,-78.4016228263897,40.5144830503999
25,-77.06233,38.806503,Station Building (with waiting room),2017-11-06T07:04:23,TRAIN,22301,VA,Alexandria, ,110 Callahan Drive, ,ALX,"Alexandria, VA", , ,-77.0623322975023,38.8065107664096
26,-123.102774,44.630464,Station Building (with waiting room),2017-11-06T07:04:23,TRAIN,97321,OR,Albany, ,110 10th Avenue SW, ,ALY,"Albany, OR", , ,-123.102788368378,44.6304693698611
27,-74.2195,42.953719,Station Building (with waiting room),2018-09-14T07:04:40,TRAIN,12010,NY,Amsterdam, ,466 West Main Street, ,AMS,"Amsterdam, NY", , ,-74.2195016624998,42.9537276752804
28,-117.877308,33.803803,Station Building (with waiting room),2018-09-22T07:04:41,TRAIN,92806,CA,Anaheim, ,2626 East Katella Avenue, ,ANA,"Anaheim, CA", , ,-117.877320105321,33.8038078484429
29,-106.845967,38.665671,Curbside Bus Stop only (no shelter),2022-09-13T07:04:28,BUS,81210,CO,Almont, ,10366-10486 CO-135, ,ANT,"Almont, CO", , ,-106.845977407388,38.6656771449179
30,-88.405852,44.263311,Station Building (with waiting room),2018-09-28T07:04:40,BUS,54911,WI,Appleton, ,100 East Washington Street, ,APP,"Appleton, WI", , ,-88.4058582389299,44.2633192020842
31,-83.743154,42.287692,Station Building (with waiting room),2017-11-06T07:04:24,TRAIN,48104,MI,Ann Arbor, ,325 Depot Street, ,ARB,"Ann Arbor, MI", , ,-83.7431586227063,42.2877001320346
32,-124.083805,40.868633,Curbside Bus Stop only (no shelter),2021-08-13T07:04:05,BUS,95521,CA,Arcata, ,925 E Street,Transit Center,ARC,"Arcata, CA",Transit Center,"Humboldt State University,McKinleyville",-124.083818867366,40.8686380423602
33,-75.290399,40.008278,Station Building (with waiting room),2017-11-06T07:04:24,TRAIN,19003,PA,Ardmore, ,39 Station Avenue, ,ARD,"Ardmore, PA", , ,-75.2904008145754,40.0082860714921
34,-93.053284,34.113919,Station Building (with waiting room),2017-11-06T07:04:24,TRAIN,71923,AR,Arkadelphia, ,798 South 5th Street, ,ARK,"Arkadelphia, AR", , ,-93.0532906338619,34.1139251565912
35,-121.083187,38.903638,Platform with Shelter,2018-09-14T07:04:40,TRAIN,95603,CA,Auburn, ,277 Nevada Street, ,ARN,"Auburn, CA", , ,-121.083200147143,38.9036431381326
36,-123.83329,46.19021,Curbside Bus Stop only (no shelter),2018-09-27T07:04:39,BUS,97103,OR,Astoria, ,900 Marine Drive, ,ART,"Astoria, OR", , ,-123.833304801938,46.1902153808712
37,-77.481304,37.759596,Platform with Shelter,2017-11-06T07:04:25,TRAIN,23005,VA,Ashland, ,112 North Railroad Avenue, ,ASD,"Ashland, VA", , ,-77.481306364556,37.759603537068
